"id","object_id","object_repr","action_flag","change_message","content_type_id","user_id","action_time"
"1","1","Áo","1","[{""added"": {}}]","7","1","2025-05-14 01:36:32.235124"
"2","2","user1","1","[{""added"": {}}]","4","1","2025-05-14 01:38:09.650885"
"3","2","user1","2","[{""changed"": {""fields"": [""First name"", ""Last name"", ""Email address"", ""User permissions""]}}]","4","1","2025-05-14 01:40:41.717069"
"4","2","Quần","1","[{""added"": {}}]","7","1","2025-05-14 02:13:17.068558"
"5","3","Giầy","1","[{""added"": {}}]","7","1","2025-05-14 10:08:10.254908"
"6","4","Dép","1","[{""added"": {}}]","7","1","2025-05-14 10:08:31.736345"
"7","5","Áo mới","1","[{""added"": {}}]","7","1","2025-05-14 10:09:10.108665"
"8","6","Dây chuyền","1","[{""added"": {}}]","7","1","2025-05-14 10:09:36.824338"
"9","7","Mũ","1","[{""added"": {}}]","7","1","2025-05-14 10:10:22.363085"
"10","2","user1","2","[{""changed"": {""fields"": [""User permissions""]}}]","4","1","2025-05-14 10:55:02.461527"
