"id","app","name","applied"
"1","contenttypes","0001_initial","2025-05-13 08:20:27.084655"
"2","auth","0001_initial","2025-05-13 08:20:27.111118"
"3","admin","0001_initial","2025-05-13 08:20:27.151797"
"4","admin","0002_logentry_remove_auto_add","2025-05-13 08:20:27.167002"
"5","admin","0003_logentry_add_action_flag_choices","2025-05-13 08:20:27.177872"
"6","contenttypes","0002_remove_content_type_name","2025-05-13 08:20:27.206717"
"7","auth","0002_alter_permission_name_max_length","2025-05-13 08:20:27.221754"
"8","auth","0003_alter_user_email_max_length","2025-05-13 08:20:27.239446"
"9","auth","0004_alter_user_username_opts","2025-05-13 08:20:27.254947"
"10","auth","0005_alter_user_last_login_null","2025-05-13 08:20:27.275997"
"11","auth","0006_require_contenttypes_0002","2025-05-13 08:20:27.280523"
"12","auth","0007_alter_validators_add_error_messages","2025-05-13 08:20:27.290237"
"13","auth","0008_alter_user_username_max_length","2025-05-13 08:20:27.301473"
"14","auth","0009_alter_user_last_name_max_length","2025-05-13 08:20:27.311297"
"15","auth","0010_alter_group_name_max_length","2025-05-13 08:20:27.320528"
"16","auth","0011_update_proxy_permissions","2025-05-13 08:20:27.329489"
"17","auth","0012_alter_user_first_name_max_length","2025-05-13 08:20:27.338830"
"18","fashion","0001_initial","2025-05-13 08:20:27.344726"
"19","sessions","0001_initial","2025-05-13 08:20:27.353206"
"20","fashion","0002_category_alter_product_name_cartitem_and_more","2025-05-13 14:38:19.349977"
"21","fashion","0003_cartitem_user","2025-05-14 02:19:13.765663"
"22","fashion","0004_alter_product_price","2025-05-14 09:38:46.335902"
